pokedex_id,pokemon_name,form,move_name,learn_method,species,display_order
824,Blipbug,,Light Screen,Evo.,Dottler,3
824,Blipbug,,Reflect,Evo.,Dottler,4
824,Blipbug,,Bug Buzz,Evo.,Orbeetle,5
824,Blipbug,,Giga Drain,TM,,6
824,Blipbug,,Mirror Coat,32,,7
824,Blipbug,,Psychic,36,,8
824,Blipbug,,Calm Mind,44/TM,,9
824,Blipbug,,Recover,Egg,,10
438,Bonsly,,Rock Throw,12,,1
438,Bonsly,,Rock Tomb,26,,2
438,Bonsly,,Earthquake,TM,,3
438,Bonsly,,Rock Slide,TM/33,,4
438,Bonsly,,Counter,36,,5
438,Bonsly,,Sucker Punch,40,,6
438,Bonsly,,Curse,Egg,,7
761,Bounsweet,,Rapid Spin,9,,1
761,Bounsweet,,Razor Leaf,13,,2
761,Bounsweet,,Stomp,29,,3
761,Bounsweet,,Trop Kick,Evo.,,4
761,Bounsweet,,High Jump Kick,49,,5
761,Bounsweet,,Play Rough,Egg,,6
406,Budew,,Growth,4,,1
406,Budew,,Giga Drain,25,,2
406,Budew,,Toxic Spikes,28,,3
406,Budew,,Leech Seed,MR,,4
406,Budew,,Mortal Spin,MR,,5
406,Budew,,Sludge Bomb,TM,,6
406,Budew,,Dazzling Gleam,TM,,7
406,Budew,,Spikes,Egg,,8
418,Buizel,,Water Sport,7,,1
418,Buizel,,Water Gun,15,,2
418,Buizel,,Taunt,TM,,3
418,Buizel,,Aqua Jet,24,,4
418,Buizel,,Brick Break,TM,,5
418,Buizel,,Ice Fang,MR,,6
418,Buizel,,Crunch,MR,,7
418,Buizel,,Waterfall,HM,,8
418,Buizel,,Aqua Tail,Egg,,9
427,Buneary,,Baby-Doll Eyes,13,,1
427,Buneary,,Quick Attack,16,,2
427,Buneary,,Return,Evo.,,3
427,Buneary,,Jump Kick,23,,4
427,Buneary,,Facade,TM,,5
427,Buneary,,Dizzy Punch,36,,6
427,Buneary,,Charm,46,,7
427,Buneary,,Bounce,56,,8
427,Buneary,,High Jump Kick,MR!,,9
427,Buneary,,Sky Uppercut,Egg,,10
1,Bulbasaur,,Leech Seed,7,,1
1,Bulbasaur,,Vine Whip,9,,2
1,Bulbasaur,,Razor Leaf,Evo.,,3
1,Bulbasaur,,Growth,28,,4
1,Bulbasaur,,Sludge Bomb,TM,,5
1,Bulbasaur,,Earthquake,TM,,6
1,Bulbasaur,,Petal Dance,Evo.,,7
1,Bulbasaur,,Synthesis,45,,8
1,Bulbasaur,,Giga Drain,EGG/TM,,9
659,Bunnelby,,Take Down,15,,1
659,Bunnelby,,Mud Shot,18,,2
659,Bunnelby,,Bulldoze,Evo.,,3
659,Bunnelby,,Return,TM,,4
659,Bunnelby,,Rock Slide,TM,,5
659,Bunnelby,,Dig,TM/37,,6
659,Bunnelby,,Earthquake,TM/57,,7
659,Bunnelby,,Bulk Up,TM,,8
659,Bunnelby,,Spikes,Egg,,9
412,Burmy,,Protect,1,,1
412,Burmy,,Bug Bite,15,,2
412,Burmy,,Hidden Power,20,,3
412,Burmy,,Quiver Dance,Evo.,,4
412,Burmy,,Confusion,23,,5
412,Burmy,,Mirror Shot,26,Wormadam-Trash,6
412,Burmy,,Metal Sound,29,Wormadam-Trash,7
412,Burmy,,Giga Drain,TM,,8
412,Burmy,,Psychic,44,,9
412,Burmy,,Bug Buzz,50,,10
351,Castform,,Water Gun,10,,1
351,Castform,,Ember,10,,2
351,Castform,,Powder Snow,10,,3
351,Castform,,Headbutt,15,,4
351,Castform,,Weather Ball,25,,5
351,Castform,,Blizzard,TM/35,,6
351,Castform,,Hydro Pump,TM/35,,7
351,Castform,,Fire Blast,TM/35,,8
351,Castform,,Solar Beam,TM,,9
351,Castform,,Thunder,TM,,10
351,Castform,,Hurricane,45,,11
351,Castform,,Ominous Wind,Egg,,12
331,Cacnea,,Leech Seed,10,,1
331,Cacnea,,Needle Arm,16,,2
331,Cacnea,,Spiky Shield,32,,3
331,Cacnea,,Giga Drain,TM,,4
331,Cacnea,,Sucker Punch,35,,5
331,Cacnea,,Destiny Bond,MR!,,6
331,Cacnea,,Counter,Egg,,7
318,Carvanha,,Aqua Jet,11,,1
318,Carvanha,,Flip Turn,20,,2
318,Carvanha,,Ice Fang,25,,3
318,Carvanha,,Snarl,TM,,4
318,Carvanha,,Poison Fang,34,,5
318,Carvanha,,Crunch,40,,6
318,Carvanha,,Waterfall,HM,,7
318,Carvanha,,Night Slash,MR!,,8
318,Carvanha,,Psychic Fangs,Egg,,9
974,Cetoddle,,Ice Shard,12,,1
974,Cetoddle,,Avalanche,27,,2
974,Cetoddle,,Bounce,31,,3
974,Cetoddle,,Earthquake,TM,,4
974,Cetoddle,,Ice Spinner,44,,5
974,Cetoddle,,Icicle Crash,Egg,,6
935,Charcadet,,Fire Spin,12,,1
935,Charcadet,,Will-O-Wisp,16,,2
935,Charcadet,,Flame Charge,24,,3
935,Charcadet,,Incinerate,28,,4
935,Charcadet,,Overheat,TM,,5
935,Charcadet,,Psyshock,Evo.,Armarouge,6
935,Charcadet,,Mystical Fire,MR,Armarouge,7
935,Charcadet,,Calm Mind,37/TM,Armarouge,8
935,Charcadet,,Flamethrower,48/TM,Armarouge,9
935,Charcadet,,Armor Cannon,MR!,Armarouge,10
935,Charcadet,,Shadow Claw,Evo.,Ceruledge,11
935,Charcadet,,Night Slash,MR,Ceruledge,12
935,Charcadet,,Bulk Up,TM,Ceruledge,13
935,Charcadet,,Bitter Blade,48,Ceruledge,14
935,Charcadet,,Psycho Cut,56,Ceruledge,15
935,Charcadet,,Shadow Ball,TM,,16
935,Charcadet,,Destiny Bond,Egg,,17
4,Charmander,,Ember,7,,1
4,Charmander,,Dragon Breath,16,,2
4,Charmander,,Fire Fang,28,,3
4,Charmander,,Flame Burst,32,,4
4,Charmander,,Air Slash,Evo.,,5
4,Charmander,,Earthquake,TM,,6
4,Charmander,,Rock Slide,TM,,7
4,Charmander,,Shadow Claw,MR,,8
4,Charmander,,Dragon Claw,MR/TM,,9
4,Charmander,,Overheat,TM,,10
4,Charmander,,Flamethrower,47/TM,,11
4,Charmander,,Flare Blitz,MR!,,12
4,Charmander,,Heat Wave,MR!,,13
4,Charmander,,Dragon Dance,Egg,,14
650,Chespin,,Leech Seed,15,,1
650,Chespin,,Needle Arm,16,,2
650,Chespin,,Rock Slide,TM,,3
650,Chespin,,Spiky Shield,36,,4
650,Chespin,,Bulk Up,48/TM,,5
650,Chespin,,Hammer Arm,MR!,,6
650,Chespin,,Wood Hammer,MR!,,7
650,Chespin,,Power-Up Punch,Egg,,8
833,Chewtle,,Protect,14,,1
833,Chewtle,,Rock Tomb,22,,2
833,Chewtle,,Earthquake,TM,,3
833,Chewtle,,Iron Tail,TM,,4
833,Chewtle,,Razor Shell,MR,,5
833,Chewtle,,Crunch,MR,,6
833,Chewtle,,Waterfall,HM,,7
833,Chewtle,,Jaw Lock,39,,8
833,Chewtle,,Liquidation,48,,9
833,Chewtle,,Dragon Tail,Egg,,10
390,Chimchar,,Ember,7,,1
390,Chimchar,,Taunt,9,,2
390,Chimchar,,Mach Punch,Evo.,,3
390,Chimchar,,Flame Wheel,19,,4
390,Chimchar,,Brick Break,TM,,5
390,Chimchar,,Earthquake,TM,,6
390,Chimchar,,Iron Tail,TM,,7
390,Chimchar,,Rock Slide,TM,,8
390,Chimchar,,Close Combat,Evo.,,9
390,Chimchar,,Bulk Up,TM,,10
390,Chimchar,,Acrobatics,52,,11
390,Chimchar,,Flare Blitz,MR!,,12
390,Chimchar,,Thunder Punch,Egg,,13
170,Chinchou,,Bubble,1,,1
170,Chinchou,,Bubble Beam,20,,2
170,Chinchou,,Spark,23,,3
170,Chinchou,,Stockpile,Evo.,,4
170,Chinchou,,Eerie Impulse,MR,,5
170,Chinchou,,Thunderbolt,TM,,6
170,Chinchou,,Ice Beam,TM,,7
170,Chinchou,,Surf,HM,,8
170,Chinchou,,Water Pulse,TM,,9
170,Chinchou,,Discharge,37,,10
170,Chinchou,,Charge,58,,11
170,Chinchou,,Psybeam,Egg,,12
433,Chingling,,Confusion,10,,1
433,Chingling,,Yawn,13,,2
433,Chingling,,Extrasensory,22,,3
433,Chingling,,Psychic,TM,,4
433,Chingling,,Shadow Ball,TM,,5
433,Chingling,,Dazzling Gleam,TM,,6
433,Chingling,,Calm Mind,TM,,7
433,Chingling,,Boomburst,48,,8
433,Chingling,,Wish,Egg,,9
366,Clamperl,,Water Gun,1,,1
366,Clamperl,,Water Pulse,MR/TM,,2
366,Clamperl,,Ice Fang,MR,Huntail,3
366,Clamperl,,Sucker Punch,MR,Huntail,4
366,Clamperl,,Draining Kiss,MR,Gorebyss,5
366,Clamperl,,Dive,26,,6
366,Clamperl,,Baton Pass,29,,7
366,Clamperl,,Ice Beam,TM,,8
366,Clamperl,,Blizzard,TM,,9
366,Clamperl,,Psychic,TM/34,Gorebyss,10
366,Clamperl,,Shadow Ball,TM/34,Gorebyss,11
366,Clamperl,,Surf,HM,,12
366,Clamperl,,Crunch,34,Huntail,13
366,Clamperl,,Waterfall,HM,,14
366,Clamperl,,Rock Tomb,TM,Huntail,15
366,Clamperl,,Aqua Tail,39,,16
366,Clamperl,,Coil,45,,17
366,Clamperl,,Hydro Pump,50,,18
366,Clamperl,,Muddy Water,Egg,,19
692,Clauncher,,Water Sport,7,,1
692,Clauncher,,Bubble,12,,2
692,Clauncher,,Bubble Beam,20,,3
692,Clauncher,,Aura Sphere,Evo.,,4
692,Clauncher,,Dark Pulse,MR,,5
692,Clauncher,,Dragon Pulse,MR,,6
692,Clauncher,,Ice Beam,TM,,7
692,Clauncher,,Shadow Ball,TM,,8
692,Clauncher,,Sludge Bomb,TM,,9
692,Clauncher,,Surf,HM,,10
692,Clauncher,,Water Pulse,34/TM,,11
692,Clauncher,,Aqua Jet,EGG/49,,12
173,Cleffa,,Charm,1,,1
173,Cleffa,,Thunderbolt,TM,,2
173,Cleffa,,Shadow Ball,TM,,3
173,Cleffa,,Psychic,TM,,4
173,Cleffa,,Flamethrower,TM,,5
173,Cleffa,,Ice Beam,TM,,6
173,Cleffa,,Dazzling Gleam,TM,,7
173,Cleffa,,Water Pulse,TM,,8
173,Cleffa,,Moonblast,MR,,9
173,Cleffa,,Moonlight,MR,,10
173,Cleffa,,Wish,Egg,,11
852,Clobbopus,,Rock Smash,1,,1
852,Clobbopus,,Detect,15,,2
852,Clobbopus,,Brick Break,20,,3
852,Clobbopus,,Bulk Up,25,,4
852,Clobbopus,,Octolock,Evo.,,5
852,Clobbopus,,Dig,TM,,6
852,Clobbopus,,Waterfall,HM,,7
852,Clobbopus,,Power-Up Punch,Egg,,8
341,Corphish,,Bubble Beam,14,,1
341,Corphish,,Protect,17,,2
341,Corphish,,Knock Off,23,,3
341,Corphish,,Snarl,TM,,4
341,Corphish,,X-Scissor,TM,,5
341,Corphish,,Razor Shell,32,,6
341,Corphish,,Waterfall,HM,,7
341,Corphish,,Swords Dance,37,,8
341,Corphish,,Crunch,43,,9
341,Corphish,,Dragon Dance,Egg,,10
222,Corsola,,Recover,8,,1
222,Corsola,,Bubble Beam,10,,2
222,Corsola,,Ancient Power,17,,3
222,Corsola,,Shadow Ball,TM,,4
222,Corsola,,Ice Beam,TM,,5
222,Corsola,,Giga Drain,TM,Corsola-Galar,6
222,Corsola,,Surf,HM,,7
222,Corsola,,Strength Sap,35,Cursola,8
222,Corsola,,Calm Mind,TM,,9
222,Corsola,,Perish Song,MR,Cursola,10
222,Corsola,,Liquidation,Egg,Corsola,11
222,Corsola,,Destiny Bond,Egg,Corsola-Galar,12
546,Cottonee,,Leech Seed,8,,1
546,Cottonee,,Stun Spore,10,,2
546,Cottonee,,Mega Drain,13,,3
546,Cottonee,,Giga Drain,26,,4
546,Cottonee,,Charm,28,,5
546,Cottonee,,Hurricane,46,,6
546,Cottonee,,Moonblast,50,,7
546,Cottonee,,Encore,Egg,,8
453,Croagunk,,Taunt,10,,1
453,Croagunk,,Rock Smash,HM,,2
453,Croagunk,,Thief,TM,,3
453,Croagunk,,Brick Break,TM,,4
453,Croagunk,,Earthquake,TM,,5
453,Croagunk,,Rock Slide,TM,,6
453,Croagunk,,Sucker Punch,31,,7
453,Croagunk,,Venoshock,36,,8
453,Croagunk,,Poison Jab,49,,9
453,Croagunk,,Bulk Up,TM,,10
453,Croagunk,,Drain Punch,Egg,,11
104,Cubone,,Bone Club,7,,1
104,Cubone,,Bonemerang,21,,2
104,Cubone,,Shadow Bone,Evo.,Marowak-Alola,3
104,Cubone,,Earthquake,TM,,4
104,Cubone,,Flare Blitz,53,Marowak-Alola,5
104,Cubone,,Iron Head,Egg,,6
878,Cufant,,Rollout,5,,1
878,Cufant,,Rock Smash,10,,2
878,Cufant,,Bulldoze,15,,3
878,Cufant,,Heavy Slam,Evo.,,4
878,Cufant,,Brick Break,TM,,5
878,Cufant,,Earthquake,TM,,6
878,Cufant,,Iron Head,44,,7
878,Cufant,,Play Rough,51,,8
878,Cufant,,High Horsepower,58,,9
878,Cufant,,Curse,Egg,,10
742,Cutiefly,,Draining Kiss,16,,1
742,Cutiefly,,Bug Buzz,28,,2
742,Cutiefly,,Calm Mind,TM,,3
742,Cutiefly,,Quiver Dance,49,,4
742,Cutiefly,,Powder,Egg,,5
751,Dewpider,,Bug Bite,13,,1
751,Dewpider,,Bubble Beam,16,,2
751,Dewpider,,Leech Life,33,,3
751,Dewpider,,Surf,HM,,4
751,Dewpider,,Water Pulse,TM,,5
751,Dewpider,,Waterfall,HM,,6
751,Dewpider,,Lunge,45,,7
751,Dewpider,,Mirror Coat,50,,8
751,Dewpider,,Liquidation,57,,9
751,Dewpider,,Sticky Web,Egg,,10
50,Diglett,,Bulldoze,18,,1
50,Diglett,,Thief,TM,,2
50,Diglett,,Hone Claws,TM,,3
50,Diglett,,Dig,TM/35,,4
50,Diglett,,Rock Tomb,TM,,5
50,Diglett,,Earthquake,47/TM,,6
50,Diglett,,Reversal,Egg,,7
425,Drifloon,,Gust,8,,1
425,Drifloon,,Ominous Wind,20,,2
425,Drifloon,,Strength Sap,MR,,3
425,Drifloon,,Thunderbolt,TM,,4
425,Drifloon,,Shadow Ball,40/TM,,5
425,Drifloon,,Fly,HM,,6
425,Drifloon,,Weather Ball,Egg,,7
529,Drilbur,,Rapid Spin,5,,1
529,Drilbur,,Metal Claw,15,,2
529,Drilbur,,Dig,19,,3
529,Drilbur,,Hone Claws,22,,4
529,Drilbur,,Rock Slide,29,,5
529,Drilbur,,Earthquake,36/TM,,6
529,Drilbur,,X-Scissor,TM,,7
529,Drilbur,,Iron Defense,Egg,,8
355,Duskull,,Night Shade,1,,1
355,Duskull,,Disable,6,,2
355,Duskull,,Shadow Sneak,17,,3
355,Duskull,,Shadow Punch,Evo.,,4
355,Duskull,,Will-O-Wisp,25,,5
355,Duskull,,Fire Punch,MR,,6
355,Duskull,,Ice Punch,MR,,7
355,Duskull,,Thunder Punch,MR,,8
355,Duskull,,Brick Break,TM,,9
355,Duskull,,Earthquake,TM,,10
355,Duskull,,Rock Slide,TM,,11
355,Duskull,,Pain Split,Egg,,12
133,Eevee,,Tail Whip,1,,1
133,Eevee,,Helping Hand,1,,2
133,Eevee,,Baby-Doll Eyes,9,,3
133,Eevee,,Quick Attack,13,,4
133,Eevee,,Bite,17,,5
133,Eevee,,Charm,29/MR,,6
133,Eevee,,Iron Tail,TM,,7
133,Eevee,,Shadow Ball,TM,,8
133,Eevee,,Rest,TM,,9
133,Eevee,,Baton Pass,33,,10
133,Eevee,,Wish,Egg,,11
133,Eevee,,Water Pulse,MR,Vaporeon,12
133,Eevee,,Ice Beam,TM,,13
133,Eevee,,Surf,HM,Vaporeon,14
133,Eevee,,Thunderbolt,TM,Jolteon,15
133,Eevee,,Thunder,TM/45,Jolteon,16
133,Eevee,,Discharge,37,Jolteon,17
133,Eevee,,Fire Fang,MR,Flareon,18
133,Eevee,,Overheat,TM,Flareon,19
133,Eevee,,Flare Blitz,45,Flareon,20
133,Eevee,,Psychic,TM,Espeon,21
133,Eevee,,Dazzling Gleam,TM,Espeon,22
133,Eevee,,Morning Sun,33,Espeon,23
133,Eevee,,Calm Mind,TM,Espeon,24
133,Eevee,,Snarl,TM,Umbreon,25
133,Eevee,,Assurance,MR,Umbreon,26
133,Eevee,,Screech,29,Umbreon,27
133,Eevee,,Moonlight,33,Umbreon,28
133,Eevee,,Mean Look,37,Umbreon,29
133,Eevee,,Razor Leaf,Evo.,Leafeon,30
133,Eevee,,Leech Seed,MR,Leafeon,31
133,Eevee,,Swords Dance,29,Leafeon,32
133,Eevee,,X-Scissor,TM,Leafeon,33
133,Eevee,,Giga Drain,MR,Leafeon,34
133,Eevee,,Leaf Blade,45,Leafeon,35
133,Eevee,,Ice Beam,TM,Glaceon,36
133,Eevee,,Freeze-Dry,40,Glaceon,37
133,Eevee,,Water Pulse,TM,Glaceon,38
133,Eevee,,Draining Kiss,MR,Sylveon,39
133,Eevee,,Moonblast,37,Sylveon,40
133,Eevee,,Calm Mind,TM,Sylveon,41
23,Ekans,,Bite,9,,1
23,Ekans,,Glare,12,,2
23,Ekans,,Crunch,Evo.,,3
23,Ekans,,Dig,TM,,4
23,Ekans,,Earthquake,TM,,5
23,Ekans,,Iron Tail,TM,,6
23,Ekans,,Ice Fang,MR,,7
23,Ekans,,Fire Fang,MR,,8
23,Ekans,,Thunder Fang,MR,,9
23,Ekans,,Acid Spray,32,,10
23,Ekans,,Leech Life,33,,11
23,Ekans,,Coil,56,,12
23,Ekans,,Gunk Shot,MR!,,13
23,Ekans,,Poison Fang,Egg,,14
309,Electrike,,Thunder Fang,19,,1
309,Electrike,,Discharge,30,,2
309,Electrike,,Snarl,TM,,3
309,Electrike,,Flamethrower,TM,,4
309,Electrike,,Overheat,TM,,5
309,Electrike,,Flame Burst,Egg,,6
239,Elekid,,Shock Wave,15,,1
239,Elekid,,Thunder Punch,29,,2
239,Elekid,,Discharge,36,,3
239,Elekid,,Brick Break,TM,,4
239,Elekid,,Psychic,TM,,5
239,Elekid,,Earthquake,TM,,6
239,Elekid,,Screech,42,,7
239,Elekid,,Ice Punch,Egg,,8
605,Elgyem,,Psybeam,15,,1
605,Elgyem,,Hidden Power,22,,2
605,Elgyem,,Psychic,39/TM,,3
605,Elgyem,,Thunderbolt,TM,,4
605,Elgyem,,Shadow Ball,TM,,5
605,Elgyem,,Calm Mind,45/TM,,6
605,Elgyem,,Recover,50,,7
605,Elgyem,,Skill Swap,Egg,,8
587,Emolga,,Charge,10,,1
587,Emolga,,Spark,13,,2
587,Emolga,,Nuzzle,15,,3
587,Emolga,,Acrobatics,30,,4
587,Emolga,,Encore,38,,5
587,Emolga,,Volt Switch,42,,6
587,Emolga,,Discharge,50,,7
587,Emolga,,Roost,Egg,,8
677,Espurr,,Confusion,9,,1
677,Espurr,,Light Screen,13,,2
677,Espurr,,Psybeam,17,,3
677,Espurr,,Fake Out,19,,4
677,Espurr,,Psyshock,25,,5
677,Espurr,,Charm,28,Meowstic-M,6
677,Espurr,,Moonblast,MR,,7
677,Espurr,,Charge Beam,28,Meowstic-F,8
677,Espurr,,Shadow Ball,31/TM,Meowstic-F,9
677,Espurr,,Signal Beam,45,Meowstic-F,10
677,Espurr,,Thunderbolt,TM,,11
677,Espurr,,Calm Mind,TM,,12
677,Espurr,,Psychic,40,,13
677,Espurr,,Assist,Egg,,14
102,Exeggcute,,Leech Seed,11,,1
102,Exeggcute,,Mega Drain,15,,2
102,Exeggcute,,Bullet Seed,17,,3
102,Exeggcute,,Trick Room,TM,,4
102,Exeggcute,,Psychic,TM,,5
102,Exeggcute,,Giga Drain,TM,,6
102,Exeggcute,,Flamethrower,TM,,7
102,Exeggcute,,Sludge Bomb,TM,,8
102,Exeggcute,,Moonlight,Egg,,9
83,Farfetch'd,Galar,Fury Cutter,10,,1
83,Farfetch'd,Galar,Rock Smash,15,,2
83,Farfetch'd,Galar,Brutal Swing,20,,3
83,Farfetch'd,Galar,Detect,25,,4
83,Farfetch'd,Galar,Knock Off,30,,5
83,Farfetch'd,Galar,Brick Break,TM/40,,6
83,Farfetch'd,Galar,Leaf Blade,55,,7
83,Farfetch'd,Galar,Brave Bird,MR!,,8
83,Farfetch'd,Galar,Sky Attack,Egg,,9
349,Feebas,,Water Pulse,Evo.,,1
349,Feebas,,Aqua Ring,17,,2
349,Feebas,,Captivate,21,,3
349,Feebas,,Recover,27,,4
349,Feebas,,Ice Beam,TM,,5
349,Feebas,,Blizzard,TM,,6
349,Feebas,,Surf,HM,,7
349,Feebas,,Coil,41,,8
349,Feebas,,Hydro Pump,44,,9
349,Feebas,,Mirror Coat,Egg,,10
653,Fennekin,,Flame Charge,14,,1
653,Fennekin,,Psybeam,18,,2
653,Fennekin,,Mystical Fire,Evo.,Delphox,3
653,Fennekin,,Flamethrower,TM/45,,4
653,Fennekin,,Dazzling Gleam,TM,,5
653,Fennekin,,Shadow Ball,MR/TM,Delphox,6
653,Fennekin,,Psychic,TM/57,,7
653,Fennekin,,Calm Mind,TM,Delphox,8
653,Fennekin,,Overheat,TM,,9
653,Fennekin,,Hypnosis,Egg,,10
926,Fidough,,Play Rough,18,,1
926,Fidough,,Work Up,22,,2
926,Fidough,,Baton Pass,26,,3
926,Fidough,,Snarl,TM,,4
926,Fidough,,Dig,TM,,5
926,Fidough,,Charm,42,,6
926,Fidough,,Crunch,47,,7
926,Fidough,,Wish,Egg,,8
669,Flabebe,,Fairy Wind,6,,1
669,Flabebe,,Wish,20,,2
669,Flabebe,,Giga Drain,TM,,3
669,Flabebe,,Moonblast,MR,,4
669,Flabebe,,Petal Dance,MR,,5
669,Flabebe,,Calm Mind,TM,,6
669,Flabebe,,Captivate,Egg,,7
661,Fletchling,,Peck,10,,1
661,Fletchling,,Flame Charge,Evo.,,2
661,Fletchling,,Steel Wing,TM/MR!,,3
661,Fletchling,,Taunt,TM,,4
661,Fletchling,,Aerial Ace,TM,,5
661,Fletchling,,Overheat,TM,,6
661,Fletchling,,Hone Claws,TM,,7
661,Fletchling,,Flare Blitz,MR,,8
661,Fletchling,,Fly,HM,,9
661,Fletchling,,Acrobatics,44,,10
661,Fletchling,,Bulk Up,TM,,11
661,Fletchling,,Brave Bird,MR!,,12
661,Fletchling,,Tailwind,Egg,,13
592,Frillish,,Water Sport,1,,1
592,Frillish,,Bubble Beam,13,,2
592,Frillish,,Recover,17,,3
592,Frillish,,Water Pulse,22,,4
592,Frillish,,Ominous Wind,27,,5
592,Frillish,,Dazzling Gleam,TM,,6
592,Frillish,,Giga Drain,TM,,7
592,Frillish,,Shadow Ball,TM,,8
592,Frillish,,Ice Beam,TM,,9
592,Frillish,,Sludge Bomb,TM,,10
592,Frillish,,Surf,HM,,11
592,Frillish,,Shock Wave,TM,,12
592,Frillish,,Water Spout,MR!,,13
592,Frillish,,Pain Split,Egg,,14
656,Froakie,,Lick,10,,1
656,Froakie,,Water Pulse,14,,2
656,Froakie,,Taunt,TM,,3
656,Froakie,,Fling,28,,4
656,Froakie,,Ice Beam,TM,,5
656,Froakie,,Rock Slide,TM,,6
656,Froakie,,Surf,HM,,7
656,Froakie,,Aerial Ace,TM,,8
656,Froakie,,Extrasensory,49,,9
656,Froakie,,Night Slash,MR!,,10
656,Froakie,,Toxic Spikes,Egg,,11
909,Fuecoco,,Incinerate,15,,1
909,Fuecoco,,Snarl,24,,2
909,Fuecoco,,Flamethrower,32,,3
909,Fuecoco,,Torch Song,36,,4
909,Fuecoco,,Shadow Ball,38/TM,,5
909,Fuecoco,,Overheat,MR!/TM,,6
909,Fuecoco,,Slack Off,Egg,,7
92,Gastly,,Mean Look,8,,1
92,Gastly,,Night Shade,15,,2
92,Gastly,,Taunt,TM,,3
92,Gastly,,Sucker Punch,22,,4
