dex_number,name,form,evolves_from_id,evolves_from_form,type1,type2,stage,ability1,ability2,hidden_ability,hp,attack,defense,sp_attack,sp_defense,speed,evolution_method,mega,obtain_method,description
371,Bagon,,,,Dragon,,base,Rock Head,,Sheer Force,45,75,60,40,30,50,,"Stage 2",,
372,Shelgon,,371,,Dragon,,evo,Rock Head,,Overcoat,65,95,100,60,50,50,"Level 30","Stage 2",,
373,Salamence,,372,,Dragon,Flying,evo,Intimidate,,Moxie,95,135,80,110,80,100,"Level 50","Stage 2",,
373,Mega Salamence,Mega,373,,Dragon,Flying,mega,Aerilate,,,95,145,130,120,90,120,Salamencite,"Stage 2",,
374,Beldum,,,,Steel,Psychic,base,Clear Body,,Light Metal,40,55,80,35,60,30,,"Stage 2",,
375,Metang,,374,,Steel,Psychic,evo,Clear Body,,Light Metal,60,75,100,55,80,50,"Level 20","Stage 2",,
376,Metagross,,375,,Steel,Psychic,evo,Clear Body,,Light Metal,80,135,130,95,90,70,"Level 45","Stage 2",,
376,Mega Metagross,Mega,376,,Steel,Psychic,mega,Tough Claws,,,80,145,150,105,110,110,Metagrossite,"Stage 2",,
824,Blipbug,,,,Bug,,base,Swarm,Compound Eyes,Telepathy,25,20,20,25,45,45,,,,
825,Dottler,,824,,Bug,Psychic,evo,Swarm,Compound Eyes,Telepathy,50,35,80,50,90,30,"Level 10",,,
826,Orbeetle,,825,,Bug,Psychic,evo,Swarm,Frisk,Telepathy,60,45,110,80,120,90,"Level 30",,,
522,Blitzle,,,,Electric,,base,Lightning Rod,Motor Drive,Sap Sipper,45,60,32,50,32,76,,,,
523,Zebstrika,,522,,Electric,,evo,Lightning Rod,Motor Drive,Sap Sipper,75,100,63,80,63,116,"Level 27",,,
438,Bonsly,,,,Rock,,base,Sturdy,Rock Head,Rattled,50,80,95,10,45,10,,,,
185,Sudowoodo,,438,,Rock,,evo,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,"Level 20",,,
761,Bounsweet,,,,Grass,,base,Leaf Guard,Oblivious,Sweet Veil,42,30,38,30,38,32,,,,
762,Steenee,,761,,Grass,,evo,Leaf Guard,Oblivious,Sweet Veil,52,40,48,40,48,62,"Level 18",,,
763,Tsareena,,762,,Grass,,evo,Leaf Guard,Queenly Majesty,Sweet Veil,72,120,98,50,98,72,"Level 29 (Stomp)",,,
406,Budew,,,,Grass,Poison,base,Natural Cure,Poison Point,Leaf Guard,40,30,35,50,70,55,,,,
315,Roselia,,406,,Grass,Poison,evo,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,"Level 20",,,
407,Roserade,,315,,Grass,Poison,evo,Natural Cure,Poison Point,Technician,60,70,65,125,105,90,"Shiny Stone",,,
418,Buizel,,,,Water,,base,Swift Swim,,Water Veil,55,65,35,60,30,85,,,,
419,Floatzel,,418,,Water,,evo,Swift Swim,,Water Veil,85,105,55,85,50,115,"Level 26",,,
1,Bulbasaur,,,,Grass,Poison,base,Overgrow,,Chlorophyll,45,49,49,65,65,45,,"Stage 2",,
2,Ivysaur,,1,,Grass,Poison,evo,Overgrow,,Chlorophyll,60,62,63,80,80,60,"Level 16","Stage 2",,
3,Venusaur,,2,,Grass,Poison,evo,Overgrow,,Chlorophyll,80,82,83,100,100,80,"Level 32","Stage 2",,
3,Mega Venusaur,Mega,3,,Grass,Poison,mega,Thick Fat,,,80,100,123,122,120,80,Venusaurite,"Stage 2",,
427,Buneary,,,,Normal,,base,Run Away,Klutz,Limber,55,66,44,44,56,85,,"Stage 1",,
428,Lopunny,,427,,Normal,,evo,Cute Charm,Klutz,Limber,65,76,84,54,96,105,"Level 20","Stage 1",,
428,Mega Lopunny,Mega,428,,Normal,Fighting,mega,Scrappy,,,65,136,94,54,96,135,Lopunnite,"Stage 1",,
659,Bunnelby,,,,Normal,,base,Pickup,Cheek Pouch,Huge Power,38,36,38,32,36,57,,,,
660,Diggersby,,659,,Normal,Ground,evo,Pickup,Cheek Pouch,Huge Power,85,56,77,50,77,78,"Level 20",,,
412,Burmy,,,,Bug,,base,Shed Skin,,Overcoat,40,29,45,29,45,36,,,,"Unique Mechanic: Burmy Binder\nBurmy and Wormadam change cloaks using the consumable Burmy Binder, available in the Pretty Petal Flower Shop. You're given three Burmy Binders. With the ability to change forms after seeing which boss you're about to face, and the ability to change its Hidden Power type, Wormadam has excellent versatility!"
413,Wormadam-Plant,Plant,412,,Bug,Grass,evo,Anticipation,,Overcoat,60,59,85,79,105,36,"Level 20",,,
413,Wormadam-Sandy,Sandy,412,,Bug,Ground,evo,Anticipation,,Overcoat,60,79,105,59,85,36,"Level 20",,,
413,Wormadam-Trash,Trash,412,,Bug,Steel,evo,Anticipation,,Overcoat,60,69,95,69,95,36,"Level 20",,,
331,Cacnea,,,,Grass,,base,Sand Veil,,Water Absorb,50,85,40,85,40,35,,,,
332,Cacturne,,331,,Grass,Dark,evo,Sand Veil,,Water Absorb,70,115,60,115,60,55,"Level 32",,,
351,Castform,,,,Normal,,base,Forecast,,,70,70,70,70,70,70,,,,"Unique Mechanic: Forecast\nStarting at level 20, Forecast gains the additional effect of setting weather whenever Castform enters the fight. The weather created depends on the type of the first move in Castform's move list:\nWater: Rain (Drizzle)\nFire: Sun (Drought)\nIce: Hail (Snow Warning)"
351,Castform-Sunny,Sunny,351,,Fire,,evo,Forecast,,,70,70,70,70,70,70,Sun,,,
351,Castform-Rainy,Rainy,351,,Water,,evo,Forecast,,,70,70,70,70,70,70,Rain,,,
351,Castform-Snowy,Snowy,351,,Ice,,evo,Forecast,,,70,70,70,70,70,70,Hail,,,
974,Cetoddle,,,,Ice,,base,Thick Fat,Snow Cloak,Sheer Force,108,68,45,30,40,43,,,,
975,Cetitan,,974,,Ice,,evo,Thick Fat,Slush Rush,Sheer Force,170,113,65,45,55,73,"Ice Stone",,,
318,Carvanha,,,,Water,Dark,base,Rough Skin,,Speed Boost,45,90,20,65,20,65,,"Stage 1",,
319,Sharpedo,,318,,Water,Dark,evo,Rough Skin,,Speed Boost,70,120,40,95,40,95,"Level 30","Stage 1",,
319,Mega Sharpedo,Mega,319,,Water,Dark,mega,Strong Jaw,,,70,140,70,110,65,105,Sharpedonite,"Stage 1",,
935,Charcadet,,,,Fire,,base,Flash Fire,,Flame Body,40,50,40,50,40,35,,,Baby,
936,Armarouge,,935,,Fire,Psychic,evo,Flash Fire,,Weak Armor,85,60,100,125,80,75,"Dawn Stone",,Baby,
937,Ceruledge,,935,,Fire,Ghost,evo,Flash Fire,,Weak Armor,75,125,80,60,100,85,"Dusk Stone",,Baby,
4,Charmander,,,,Fire,,base,Blaze,,Solar Power,39,52,43,60,50,65,,"Stage 2",,
5,Charmeleon,,4,,Fire,,evo,Blaze,,Solar Power,58,64,58,80,65,80,"Level 16","Stage 2",,
6,Charizard,,5,,Fire,Flying,evo,Blaze,,Solar Power,78,84,78,109,85,100,"Level 36","Stage 2",,
6,Charizard-Mega_X,"Mega X",6,,Fire,Dragon,mega,Tough Claws,,,78,130,111,130,85,100,"Charizardite X","Stage 2",,
833,Chewtle,,,,Water,,base,Strong Jaw,Shell Armor,Swift Swim,50,64,50,38,38,41,,,,
834,Drednaw,,833,,Water,Rock,evo,Strong Jaw,Shell Armor,Swift Swim,90,115,90,48,68,74,"Level 22",,,
650,Chespin,,,,Grass,,base,Overgrow,,Bulletproof,56,61,65,48,45,38,,"Stage 2",,
651,Quilladin,,650,,Grass,,evo,Overgrow,,Bulletproof,61,78,95,56,58,57,"Level 16","Stage 2",,
652,Chesnaught,,651,,Grass,Fighting,evo,Overgrow,,Bulletproof,88,107,122,74,75,64,"Level 36","Stage 2",,
652,Mega Chesnaught,Mega,652,,Grass,Fighting,mega,Bulletproof,,,88,137,172,74,115,44,Chesnaughtite,"Stage 2",,
390,Chimchar,,,,Fire,,base,Blaze,,Iron Fist,44,58,44,58,44,61,,,,
391,Monferno,,390,,Fire,Fighting,evo,Blaze,,Iron Fist,64,78,52,78,52,81,"Level 14",,,
392,Infernape,,391,,Fire,Fighting,evo,Blaze,,Iron Fist,76,104,71,104,71,108,"Level 36",,,
170,Chinchou,,,,Water,Electric,base,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,,,,
171,Lanturn,,170,,Water,Electric,evo,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,"Level 27",,,
433,Chingling,,,,Psychic,,base,Levitate,,,45,30,50,65,50,45,,"Stage 1",,
358,Chimecho,,433,,Psychic,,evo,Levitate,,,75,50,80,95,90,65,"Level 20","Stage 1",,
358,Mega Chimecho,Mega,358,,Psychic,Steel,evo,Levitate,,,75,50,110,135,120,65,Chimechite,"Stage 1",,
366,Clamperl,,,,Water,,base,Shell Armor,,Rattled,35,64,85,74,55,32,,,,
367,Huntail,,366,,Water,,evo,Swift Swim,,Water Veil,55,104,105,94,75,52,"Level 28 (Male)",,,
368,Gorebyss,,366,,Water,,evo,Swift Swim,,Hydration,55,84,105,114,75,52,"Level 28 (Female)",,,
692,Clauncher,,,,Water,,base,"Mega Launcher",,,50,53,62,58,63,44,,,,
693,Clawitzer,,692,,Water,,evo,"Mega Launcher",,,71,73,88,120,89,59,"Level 37 (Oracle)",,,
852,Clobbopus,,,,Fighting,,base,Limber,,Technician,50,68,60,50,50,32,,,,
853,Grapploct,,852,,Fighting,,evo,Limber,,Technician,80,118,90,70,80,42,"Level 38 (Oracle)",,,
341,Corphish,,,,Water,,base,Hyper Cutter,Shell Armor,Adaptability,43,80,65,50,35,35,,,,
342,Crawdaunt,,341,,Water,Dark,evo,Hyper Cutter,Shell Armor,Adaptability,63,120,85,90,55,55,"Level 30",,,
222,Corsola,,,,Water,Rock,base,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,,,,"Unique Mechanic: On-Death Evolution\nWhen Corsola faints, after the battle, it will transform into Galarian Corsola and revive at full HP."
222,Corsola,Galar,222,,Ghost,,evo,Weak Armor,,Cursed Body,60,55,100,65,100,30,"on death",,,
864,Cursola,,222,Galar,Ghost,,evo,Weak Armor,,Perish Body,60,95,50,145,130,30,"Level 38 (Oracle)",,,
546,Cottonee,,,,Grass,Fairy,base,Prankster,Infiltrator,Chlorophyll,40,27,60,37,50,66,,,,
547,Whimsicott,,546,,Grass,Fairy,evo,Prankster,Infiltrator,Chlorophyll,60,67,85,77,75,116,"Sun Stone",,,
453,Croagunk,,,,Poison,Fighting,base,Anticipation,Dry Skin,Poison Touch,48,61,40,61,40,50,,,,
454,Toxicroak,,453,,Poison,Fighting,evo,Anticipation,Dry Skin,Poison Touch,83,106,65,86,65,85,"Level 37 (Oracle)",,,
104,Cubone,,,,Ground,,base,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,,,,
105,Marowak,,104,,Ground,,evo,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,"Level 28 at day",,,
105,Marowak,Alola,104,,Fire,Ghost,evo,Cursed Body,Lightning Rod,Rock Head,60,80,110,50,80,45,"Level 28 at night",,,
878,Cufant,,,,Steel,,base,Sheer Force,,Heavy Metal,72,80,49,40,49,40,,,,
879,Copperajah,,878,,Steel,,evo,Sheer Force,,Heavy Metal,122,130,69,80,69,30,"Level 34",,,
742,Cutiefly,,,,Bug,Fairy,base,Honey Gather,Shield Dust,Sweet Veil,40,45,40,55,40,84,,,,
743,Ribombee,,742,,Bug,Fairy,evo,Honey Gather,Shield Dust,Sweet Veil,60,55,60,95,70,124,"Level 25",,,
751,Dewpider,,,,Water,Bug,base,Water Bubble,,Water Absorb,38,40,52,40,72,27,,,,
752,Araquanid,,751,,Water,Bug,evo,Water Bubble,,Water Absorb,68,70,92,50,132,42,"Level 22",,,
50,Diglett,,,,Ground,,base,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,,,,
51,Dugtrio,,50,,Ground,,evo,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,"Level 26",,,
425,Drifloon,,,,Ghost,Flying,base,Unburden,Aftermath,Flare Boost,90,50,34,60,44,70,,,,
426,Drifblim,,425,,Ghost,Flying,evo,Unburden,Aftermath,Flare Boost,150,80,44,90,54,80,"Level 28",,,
529,Drilbur,,,,Ground,,base,Sand Rush,Sand Force,Mold Breaker,60,85,40,30,45,68,,"Stage 1",,
530,Excadrill,,529,,Ground,Steel,evo,Sand Rush,Sand Force,Mold Breaker,110,135,60,50,65,88,"Level 31","Stage 1",,
530,Mega Excadrill,Mega,530,,Ground,Steel,evo,Sand Rush,Sand Force,Mold Breaker,110,165,100,65,65,103,Excadrite,"Stage 1",,
23,Ekans,,,,Poison,,base,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,,,,
24,Arbok,,23,,Poison,,evo,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,"Level 22",,,
309,Electrike,,,,Electric,,base,Static,Lightning Rod,Minus,40,45,40,65,40,65,,"Stage 1",,
310,Manectric,,309,,Electric,,evo,Static,Lightning Rod,Minus,70,75,60,105,60,105,"Level 26","Stage 1",,
310,Mega Manectric,Mega,310,,Electric,,mega,Intimidate,,,70,75,80,135,80,135,Manectite,"Stage 1",,
239,Elekid,,,,Electric,,base,Static,,Vital Spirit,45,63,37,65,55,95,,,,
125,Electabuzz,,239,,Electric,,evo,Static,,Vital Spirit,65,83,57,95,85,105,"Level 30",,,
466,Electivire,,125,,Electric,,evo,Motor Drive,,Vital Spirit,75,123,67,95,85,95,"Linking Cord",,,
605,Elgyem,,,,Psychic,,base,Telepathy,Synchronize,Analytic,55,55,55,85,55,30,,,,
606,Beheeyem,,605,,Psychic,,evo,Telepathy,Synchronize,Analytic,75,75,75,125,95,40,"Level 42 (Oracle)",,,
587,Emolga,,,,Electric,Flying,base,Static,,Motor Drive,55,75,60,75,60,103,,,,
677,Espurr,,,,Psychic,,base,Keen Eye,Infiltrator,Own Tempo,62,48,54,63,60,68,,"Stage 1",,
678,Meowstic-M,M,677,,Psychic,,evo,Keen Eye,Infiltrator,Prankster,74,48,76,83,81,104,"Level 25","Stage 1",,
678,Meowstic-F,F,677,,Psychic,,evo,Keen Eye,Infiltrator,Competitive,74,48,76,83,81,104,"Level 25","Stage 1",,
678,Mega Meowstic,Mega,678,F,Psychic,,mega,Keen Eye,Infiltrator,,74,48,76,143,101,124,Meowsticite,"Stage 1",,
102,Exeggcute,,,,Grass,Psychic,base,Chlorophyll,,Harvest,60,40,80,60,45,40,,,,
103,Exeggutor,,102,,Grass,Psychic,evo,Chlorophyll,,Harvest,95,95,85,125,75,55,"Leaf Stone",,,
103,Exeggutor,Alola,102,,Grass,Dragon,evo,Frisk,,Harvest,95,105,85,125,75,45,"Sun Stone",,,
83,Farfetch'd,Galar,,,Fighting,,base,Steadfast,,Scrappy,52,95,55,58,62,55,,,,
865,Sirfetch'd,,83,Galar,Fighting,,evo,Steadfast,,Scrappy,62,135,95,68,82,65,"Level 28",,,
349,Feebas,,,,Water,,base,Swift Swim,Oblivious,Adaptability,20,15,20,10,55,80,,,,
350,Milotic,,349,,Water,,evo,Marvel Scale,Competitive,Cute Charm,95,60,79,100,125,81,"Level 40 (Oracle)",,,
653,Fennekin,,,,Fire,,base,Blaze,,Magician,40,45,40,62,60,60,,"Stage 2",,
654,Braixen,,653,,Fire,,evo,Blaze,,Magician,59,59,58,90,70,73,"Level 16","Stage 2",,
655,Delphox,,654,,Fire,Psychic,evo,Blaze,,Magician,75,69,72,114,100,104,"Level 36","Stage 2",,
655,Mega Delphox,Mega,655,,Fire,Psychic,mega,Levitate,,,75,69,72,159,125,134,Delphoxite,"Stage 2",,
926,Fidough,,,,Fairy,,base,Own Tempo,,Klutz,37,55,70,30,55,65,,,,
927,Dachsbun,,926,,Fairy,,evo,"Well-Baked Body",,Aroma Veil,57,80,115,50,80,95,"Level 26",,,
669,Flabebe,,,,Fairy,,base,Flower Veil,,Symbiosis,44,38,39,61,79,42,,,,
670,Floette,,669,,Fairy,,evo,Flower Veil,,Symbiosis,54,45,47,75,98,52,"Level 19",,,
671,Florges,,670,,Fairy,,evo,Flower Veil,,Symbiosis,78,65,68,112,154,75,"Shiny Stone",,,
661,Fletchling,,,,Normal,Flying,base,Big Pecks,,Gale Wings,45,50,43,40,38,62,,,,
662,Fletchinder,,661,,Fire,Flying,evo,Flame Body,,Gale Wings,62,73,55,56,52,84,"Level 17",,,
663,Talonflame,,662,,Fire,Flying,evo,Flame Body,,Gale Wings,78,81,71,74,69,126,"Level 35",,,
592,Frillish,,,,Water,Ghost,base,Water Absorb,Cursed Body,Damp,55,40,50,65,85,40,,,,
593,Jellicent,,592,,Water,Ghost,evo,Water Absorb,Cursed Body,Damp,100,60,70,85,105,60,"Level 40 (Oracle)",,,
656,Froakie,,,,Water,,base,Torrent,,Protean,41,56,40,62,44,71,,"Stage 2",,
657,Frogadier,,656,,Water,,evo,Torrent,,Protean,54,63,52,83,56,97,"Level 16","Stage 2",,
658,Greninja,,657,,Water,Dark,evo,Torrent,,Protean,72,95,67,103,71,122,"Level 36","Stage 2",,
658,Mega Greninja,Mega,658,,Water,Dark,mega,Protean,,,72,125,77,133,81,142,Greninjite,"Stage 2",,
909,Fuecoco,,,,Fire,,base,Blaze,,Unaware,67,45,59,63,40,36,,,,
910,Crocalor,,909,,Fire,,evo,Blaze,,Unaware,81,55,78,90,58,49,"Level 16",,,
911,Skeledirge,,910,,Fire,Ghost,evo,Blaze,,Unaware,104,75,100,110,75,66,"Level 36",,,
92,Gastly,,,,Ghost,Poison,base,Levitate,,,30,35,30,100,35,80,,"Stage 2",,
93,Haunter,,92,,Ghost,Poison,evo,Levitate,,,45,50,45,115,55,95,"Level 25","Stage 2",,
94,Gengar,,93,,Ghost,Poison,evo,Cursed Body,,,60,65,60,130,75,110,"Linking Cord","Stage 2",,
94,Mega Gengar,Mega,94,,Ghost,Poison,mega,Shadow Tag,,,60,65,80,170,95,130,Gengarite,"Stage 2",,
74,Geodude,,,,Rock,Ground,base,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,,,,
75,Graveler,,74,,Rock,Ground,evo,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,"Level 25",,,
76,Golem,,75,,Rock,Ground,evo,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,"Linking Cord",,,
443,Gible,,,,Dragon,Ground,base,Sand Veil,,Rough Skin,58,70,45,40,45,42,,"Stage 2",,
444,Gabite,,443,,Dragon,Ground,evo,Sand Veil,,Rough Skin,68,90,65,50,55,82,"Level 24","Stage 2",,
445,Garchomp,,444,,Dragon,Ground,evo,Sand Veil,,Rough Skin,108,130,95,80,85,102,"Level 48","Stage 2",,
445,Mega Garchomp,Mega,445,,Dragon,Ground,mega,Sand Force,,,108,170,115,120,95,92,Garchompite,"Stage 2",,
704,Goomy,,,,Dragon,,base,Sap Sipper,Hydration,Gooey,45,50,35,55,75,40,,,,"Tip: Rain Evolution\nBoth forms of Sliggoo require you find some rain to evolve them. Luckily, just east of Fortree City, Route 119 has a permanent rain shower. Use the "Evolution" option in the party menu to evolve Sliggoo when standing in the rain."
705,Sliggoo,,704,,Dragon,,evo,Sap Sipper,Hydration,Gooey,68,75,53,83,113,60,"Level 40 (Guru)",,,
706,Goodra,,705,,Dragon,,evo,Sap Sipper,Hydration,Gooey,90,100,70,110,150,80,"Level 50 in Rain",,,
705,Sliggoo,Hisui,704,,Steel,Dragon,evo,Sap Sipper,Shell Armor,Gooey,58,75,83,83,113,40,"Metal Coat",,,
706,Goodra,Hisui,705,Hisui,Steel,Dragon,evo,Sap Sipper,Shell Armor,Gooey,80,100,100,110,150,60,"Level 50 in Rain",,,
829,Gossifleur,,,,Grass,,base,Cotton Down,Regenerator,Effect Spore,40,40,60,40,60,10,,,,
830,Eldegoss,,829,,Grass,,evo,Cotton Down,Regenerator,Effect Spore,60,50,90,80,120,60,"Level 20",,,
574,Gothita,,,,Psychic,,base,Frisk,Competitive,Shadow Tag,45,30,50,55,65,45,,,,
575,Gothorita,,574,,Psychic,,evo,Frisk,Competitive,Shadow Tag,60,45,70,75,85,55,"Level 32 (Guru)",,,
576,Gothitelle,,575,,Psychic,,evo,Frisk,Competitive,Shadow Tag,70,55,95,95,110,65,"Level 41",,,
971,Greavard,,,,Ghost,,base,Pickup,,Fluffy,50,61,60,30,55,34,,,,"Unique Mechanic: Last Respects\nEach time one of your Pokemon faints, Greavard's signature move Last Respects permanently gains 15 power on top of its base 50.\nThe fainted Pokémon counter does not reset between battles."
972,Houndstone,,971,,Ghost,,evo,Sand Rush,,Fluffy,72,101,100,50,97,68,"Level 30",,,
58,Growlithe,,,,Fire,,base,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,,,,
59,Arcanine,,58,,Fire,,evo,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,"Fire Stone",,,
736,Grubbin,,,,Bug,,base,Swarm,,,47,62,45,55,45,46,,,,
737,Charjabug,,736,,Bug,Electric,evo,Battery,,,57,82,95,55,75,36,"Level 20",,,
738,Vikavolt,,737,,Bug,Electric,evo,Levitate,,,77,70,90,145,75,43,"Thunder Stone",,,
856,Hatenna,,,,Psychic,,base,Healer,Anticipation,Magic Bounce,42,30,45,56,53,39,,,,
857,Hattrem,,856,,Psychic,,evo,Healer,Anticipation,Magic Bounce,57,40,65,86,73,49,"Level 32 (Guru)",,,
858,Hatterene,,857,,Psychic,Fairy,evo,Healer,Anticipation,Magic Bounce,57,90,95,136,103,29,"Level 42",,,
694,Helioptile,,,,Electric,Normal,base,Dry Skin,Sand Veil,Solar Power,44,38,33,61,43,70,,,,
695,Heliolisk,,694,,Electric,Normal,evo,Dry Skin,Sand Veil,Solar Power,62,55,52,109,94,109,"Sun Stone",,,
449,Hippopotas,,,,Ground,,base,Sand Stream,,Sand Force,68,72,78,38,42,32,,,,
450,Hippowdon,,449,,Ground,,evo,Sand Stream,,Sand Force,108,112,118,68,72,47,"Level 34",,,
679,Honedge,,,,Steel,Ghost,base,No Guard,,,45,80,100,35,37,28,,,,
680,Doublade,,679,,Steel,Ghost,evo,No Guard,,,59,110,150,45,49,35,"Level 35 (Guru)",,,
681,Aegislash-Shield,Shield,680,,Steel,Ghost,evo,Stance Change,,,60,50,140,50,140,60,"Dusk Stone",,,
681,Aegislash-Blade,Blade,680,,Steel,Ghost,evo,Stance Change,,,60,140,50,140,50,60,"Stance Change",,,
116,Horsea,,,,Water,,base,Swift Swim,Sniper,Damp,30,40,70,70,25,60,,,,
117,Seadra,,116,,Water,,evo,Poison Point,Sniper,Damp,55,65,95,95,45,85,"Level 32 (Guru)",,,
230,Kingdra,,117,,Water,Dragon,evo,Swift Swim,Sniper,Damp,75,95,95,95,95,85,"Dragon Scale",,,
228,Houndour,,,,Dark,Fire,base,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,,"Stage 1",,
229,Houndoom,,228,,Dark,Fire,evo,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,"Level 24","Stage 1",,
229,Mega Houndoom,Mega,229,,Dark,Fire,mega,Solar Power,,,75,90,90,140,90,115,Houndoominite,"Stage 1",,
859,Impidimp,,,,Dark,Fairy,base,Prankster,Frisk,Pickpocket,45,45,30,55,40,50,,,,
860,Morgrem,,859,,Dark,Fairy,evo,Prankster,Frisk,Pickpocket,65,60,45,75,55,70,"Level 32 (Guru)",,,
861,Grimmsnarl,,860,,Dark,Fairy,evo,Prankster,Frisk,Pickpocket,95,120,65,95,75,60,"Level 42",,,
686,Inkay,,,,Dark,Psychic,base,Contrary,Suction Cups,Infiltrator,53,54,53,37,46,45,,"Stage 1",,"Tip: One Crazy Contrary\nInkay and Malamar's ability Contrary inverts all stat changes. This makes Superpower boost Malamar's stats instead of lowering them, allowing it to increase its Attack and Defense by one stage."
687,Malamar,,686,,Dark,Psychic,evo,Contrary,Suction Cups,Infiltrator,86,92,88,68,75,73,"Level 30","Stage 1",,
687,Mega Malamar,Mega,687,,Dark,Psychic,mega,Contrary,Suction Cups,Infiltrator,86,102,88,98,120,88,Malamarite,"Stage 1",,
782,Jangmo-o,,,,Dragon,,base,Bulletproof,Soundproof,Overcoat,45,55,65,45,45,45,,,,
783,Hakamo-o,,782,,Dragon,Fighting,evo,Bulletproof,Soundproof,Overcoat,55,75,90,65,70,65,"Level 35 (Guru)",,,
784,Kommo-o,,783,,Dragon,Fighting,evo,Bulletproof,Soundproof,Overcoat,75,110,125,100,105,85,"Level 45",,,
595,Joltik,,,,Bug,Electric,base,Compound Eyes,Unnerve,Swarm,50,47,50,57,50,65,,,,
596,Galvantula,,595,,Bug,Electric,evo,Compound Eyes,Unnerve,Swarm,70,77,60,97,60,108,"Level 36",,,
246,Larvitar,,,,Rock,Ground,base,Guts,,Sand Veil,50,64,50,45,50,41,,"Stage 2",,
247,Pupitar,,246,,Rock,Ground,evo,Shed Skin,,,70,84,70,65,70,51,"Level 30","Stage 2",,
248,Tyranitar,,247,,Rock,Dark,evo,Sand Stream,,Unnerve,100,134,110,95,100,61,"Level 55","Stage 2",,
248,Mega Tyranitar,Mega,248,,Rock,Dark,mega,Sand Stream,,,100,164,150,95,120,71,Tyranitarite,"Stage 2",,
506,Lillipup,,,,Normal,,base,Vital Spirit,Pickup,Run Away,45,60,45,25,45,55,,,,
507,Herdier,,506,,Normal,,evo,Intimidate,Sand Rush,Scrappy,65,80,65,35,65,60,"Level 16",,,
508,Stoutland,,507,,Normal,,evo,Intimidate,Sand Rush,Scrappy,85,110,90,45,90,80,"Level 32",,,
667,Litleo,,,,Fire,Normal,base,Rivalry,Unnerve,Moxie,62,50,58,73,54,72,,"Stage 1",,
668,Pyroar,,667,,Fire,Normal,evo,Rivalry,Unnerve,Moxie,86,68,72,109,66,106,"Level 35","Stage 1",,
